G,$A_{1}$,$A_{2}$,$A_{3}$,$A_{4}$,$A_{5}$,$A_{6}$,$A_{7}$,$A_{8}$,$A_{9}$,$A_{10}$,$A_{11}$,$A_{12}$,$A_{13}$,$A_{14}$,$A_{15}$,$A_{16}$
$G_{2}$ $G_{3}$ $G_{5}$ ,0.4931838124045398,0.3889370347432699,0.3590889116619189,0.5091978177259969,0.6044387586246118,0.16939918005115326,0.5015872202288578,0.14786387362432493,0.43110258526903894,0.5382334816801182,0.6217776595574387,0.21866669184166648,0.24247397734046383,0.43474454052975775,0.5291743022562561,0.41489808386598037
$G_{2}$ $G_{3}$ $G_{4}$ ,0.4897721100436191,0.37478071071398755,0.3514216191125438,0.4914335351688299,0.5429342193031402,0.12677569236075178,0.4904995050231163,0.10971337869062484,0.4136425646880217,0.5210243770867756,0.5933281793791263,0.1837753707223858,0.21422987372328306,0.4145786220389915,0.5070773584274074,0.40782149305034415
$G_{2}$ $G_{3}$ $G_{4}$ $G_{5}$ ,0.4836677352747253,0.3696778094034159,0.3470643805201249,0.4869565174819167,0.5354415203042602,0.12065992781642959,0.48628599173784326,0.10101178001801436,0.40559371218992973,0.5151147436913929,0.587463166123486,0.17168775778277112,0.2097377513555056,0.40975783478809846,0.5030144646491063,0.4037905187861509
$G_{1}$ ,0.5620289851082304,0.437377408168055,0.42193631716215607,0.5313838093776603,0.5425025699908012,0.24779261224437737,0.5497097941108086,0.25763542010379453,0.4937608198053514,0.610554868580278,0.6038067827212982,0.21228573514908902,0.30707558085469644,0.4703718286452194,0.6301402526319348,0.39770630128072193
$G_{1}$ $G_{5}$ ,0.5559246103393365,0.4322745068574833,0.41757907856973714,0.526906791690747,0.535009870991921,0.24167684770005518,0.5454962808255355,0.24893382143118406,0.48571196730725946,0.6046452351848952,0.5979417694656579,0.20019812220947433,0.30258345848691903,0.4655510413943264,0.6260773588536337,0.3936753270165287
$G_{1}$ $G_{4}$ ,0.5525129079784159,0.41811818282820096,0.40991178602036205,0.5091425091335801,0.47350533167044945,0.19905336000965373,0.534408565619794,0.21078332649748394,0.4682519467262422,0.5874361305915526,0.5694922892873455,0.1653068010901937,0.27433935486973826,0.4453851229035602,0.603980415024785,0.3865987362008925
$G_{1}$ $G_{4}$ $G_{5}$ ,0.5464085332095221,0.4130152815176293,0.4055545474279431,0.5046654914466667,0.46601263267156945,0.19293759546533154,0.5301950523345209,0.20208172782487346,0.46020309422815026,0.58152649719617,0.5636272760317054,0.153219188150579,0.2698472325019608,0.44056433565266717,0.5999175212464838,0.3825677619366993
$G_{1}$ $G_{3}$ ,0.5032112532149176,0.40689635724008055,0.3799451844549447,0.5211988945308652,0.5308317131581343,0.23282460439265865,0.5239705588146063,0.20274686465517225,0.46284780326369296,0.5821560820151458,0.5615013643425629,0.20099578324818218,0.2660512317442305,0.4565789268456817,0.6048753997353473,0.36682521545161895
$G_{1}$ $G_{3}$ $G_{5}$ ,0.4971068784460238,0.4017934559295089,0.37558794586252575,0.5167218768439519,0.5233390141592542,0.22670883984833645,0.5197570455293333,0.1940452659825618,0.45479895076560106,0.5762464486197632,0.5556363510869227,0.1889081703085675,0.2615591093764531,0.45175813959478867,0.6008125059570462,0.3627942411874257
$G_{1}$ $G_{3}$ $G_{4}$ ,0.4936951760851031,0.38763713190022653,0.36792065331315066,0.498957594286785,0.46183447483778256,0.18408535215793498,0.5086693303235917,0.15589477104886165,0.43733893018458375,0.5590373440264205,0.5271868709086104,0.15401684918928685,0.23331500575927233,0.4315922211040224,0.5787155621281975,0.35571765037178954
$G_{1}$ $G_{3}$ $G_{4}$ $G_{5}$ ,0.4875908013162093,0.38253423058965486,0.3635634147207317,0.49448057659987166,0.4543417758389025,0.17796958761361278,0.5044558170383188,0.1471931723762512,0.42929007768649186,0.5531277106310377,0.5213218576529701,0.14192923624967216,0.22882288339149487,0.4267714338531294,0.5746526683498963,0.3516866761075963
$G_{1}$ $G_{2}$ ,0.49582277268575004,0.36991334501562934,0.3201329433038756,0.47769345798168494,0.48856627860020085,0.11110652918357158,0.4474485671497483,0.11018530224324763,0.427860351366912,0.5440043087548597,0.5426663342257818,0.14112242963775298,0.19493402657334996,0.42172673517722403,0.5023744487278287,0.3662631629219685
$G_{1}$ $G_{2}$ $G_{5}$ ,0.48971839791685623,0.3648104437050576,0.31577570471145666,0.4732164402947717,0.4810735796013208,0.10499076463924939,0.4432350538644753,0.10148370357063717,0.4198114988688201,0.538094675359477,0.5368013209701415,0.12903481669813832,0.19044190420557255,0.416905947926331,0.49831155494952745,0.3622321886577752
